NWR,FLI (Day),FBI (Day),FLI (%),FBI (%),FLIDELTA,FBIDELTA,FLI_102030_avg_rate,FBI_102030_avg_rate,"FLI SD, AVG"
FARALLON NATIONAL WILDLIFE REFUGE  ,26.84672,53.05161,1.083654,1.083654,0.2339455,0.2339455,-0.400189998,-0.818878814,2.539337
FEATHERSTONE NATIONAL WILDLIFE REFUGE  ,68.46414,101.4853,15.90507,3.453421,26.24868,3.64955,-0.52940134,-0.734718231,8.868962
FELSENTHAL NATIONAL WILDLIFE REFUGE  ,39.04103,69.40978,68.15771,47.5251,18.39981,24.0496,0.389470992,-0.035648281,8.536401
FERN CAVE NATIONAL WILDLIFE REFUGE  ,47.05724,81.01638,44.50507,17.43477,38.30857,23.57001,-0.152775546,-0.463841919,10.72739
FISH SPRINGS NATIONAL WILDLIFE REFUGE  ,88.80814,126.7579,17.33876,45.35096,26.24868,54.70815,-0.767275556,-0.084196397,8.738937
FISHERMAN ISLAND NATIONAL WILDLIFE REFUGE  ,51.39316,90.43505,30.26999,11.61363,45.46731,25.97965,-0.288466308,-0.518745751,11.75767
FLATTERY ROCKS NATIONAL WILDLIFE REFUGE  ,57.56574,118.2214,2.918952,15.5362,4.40547,16.53995,-2.905107808,-1.548537663,13.52244
FLINT HILLS NATIONAL WILDLIFE REFUGE  ,72.94869,102.2549,20.66057,1.8005,27.56834,2.254933,-0.43679039,-0.684162785,8.256592
FLORENCE LAKE NATIONAL WILDLIFE REFUGE  ,110.0194,139.1498,3.234192,15.62052,6.556008,17.37272,-0.736576511,-0.449927307,9.199732
FLORIDA PANTHER NATIONAL WILDLIFE REFUGE  ,15.3953,30.66922,65.10083,47.43241,23.68698,36.63586,0.051053509,0.012218811,3.687241
FORT NIOBRARA NATIONAL WILDLIFE REFUGE  ,91.74958,125.9539,2.84097,3.951037,4.171525,8.706546,-1.257307595,-0.642105873,8.67097
FOX RIVER NATIONAL WILDLIFE REFUGE  ,100.4185,128.2815,1.407279,1.083654,0.8664788,0.2339455,-1.123800837,-0.742879768,9.13493
FRANKLIN ISLAND NATIONAL WILDLIFE REFUGE  ,106.6174,139.7763,1.407279,1.083654,0.8664788,0.2339455,-0.93691067,-0.68110838,8.246906
FRANZ LAKE NATIONAL WILDLIFE REFUGE  ,75.41077,121.3903,16.08539,33.37258,15.35173,38.90514,-0.968841927,-0.247880812,11.69864
GLACIAL RIDGE NATIONAL WILDLIFE REFUGE  ,111.0485,138.9216,1.083654,13.74203,0.2339455,16.55655,-0.727721611,-0.526764381,9.581367
GRAND BAY NATIONAL WILDLIFE REFUGE  ,25.89074,51.47037,62.70133,66.82842,13.88454,15.48719,0.193952194,0.351326178,5.760925
GRAND COTE NATIONAL WILDLIFE REFUGE  ,29.6853,57.27721,64.33417,61.61261,8.716985,21.00831,0.254001719,0.275812866,6.542775
GRAVEL ISLAND NATIONAL WILDLIFE REFUGE  ,111.9327,144.6364,1.083654,8.655774,0.2339455,13.84894,-1.202471703,-0.654421262,10.63026
GRAYS HARBOR NATIONAL WILDLIFE REFUGE  ,53.34101,106.498,6.906842,16.98666,7.299099,16.07206,-1.791103012,-1.434859468,10.59279
GRAYS LAKE NATIONAL WILDLIFE REFUGE  ,119.8727,154.8332,26.4784,74.58291,32.03783,20.27465,-0.286143459,0.200252266,9.239885
