,FLI (10 Year),FLI (20 Year),FLI (30 Year),FBI (10 Year),FBI (20 Year),FBI (30 Year),FLI10 (%),FLI20 (%),FLI30 (%),FBI10 (%),FBI20 (%),FBI30 (%)
GLACIAL RIDGE NATIONAL WILDLIFE REFUGE  ,108.5914,112.4334,112.1207,138.3641,139.6045,138.7961,0.9708738,1.075269,1.204819,12.62136,22.58065,6.024096
GRAND BAY NATIONAL WILDLIFE REFUGE  ,26.2,25.51667,25.95556,52.5,51.03333,50.87778,70.87379,56.98925,60.24096,75.72816,64.51613,60.24096
GRAND COTE NATIONAL WILDLIFE REFUGE  ,30.31809,28.7116,30.0262,58.69543,56.35965,56.77655,68.93204,60.21505,63.85542,72.81553,60.21505,51.80723
GRAVEL ISLAND NATIONAL WILDLIFE REFUGE  ,109.2971,112.7668,113.7342,144.1365,145.0963,144.6765,0.9708738,1.075269,1.204819,9.708738,15.05376,1.204819
GRAYS HARBOR NATIONAL WILDLIFE REFUGE  ,52.72718,53.62438,53.67146,107.1893,107.0645,105.2402,9.708738,8.602151,2.409639,23.30097,20.43011,7.228916
GRAYS LAKE NATIONAL WILDLIFE REFUGE  ,119.3385,120.541,119.7385,155.591,154.9843,153.9244,23.30097,44.08602,12.04819,80.58252,81.72043,61.44578
GREAT BAY NATIONAL WILDLIFE REFUGE  ,105.2179,106.3844,107.2547,135.4171,136.7283,137.3357,0.9708738,1.075269,1.204819,0.9708738,1.075269,1.204819
GREAT DISMAL SWAMP NATIONAL WILDLIFE REFUGE  ,52.87824,50.0751,50.10948,87.98803,87.3139,87.65125,51.45631,16.12903,8.433735,29.12621,4.301075,1.204819
GREAT MEADOWS NATIONAL WILDLIFE REFUGE  ,102.5455,103.1497,103.2709,130.2331,131.243,132.4036,3.883495,1.075269,1.204819,0.9708738,1.075269,1.204819
GREAT RIVER NATIONAL WILDLIFE REFUGE  ,80.73675,81.37021,80.82774,106.4522,109.1386,109.819,9.708738,13.97849,1.204819,0.9708738,1.075269,1.204819
GREAT SWAMP NATIONAL WILDLIFE REFUGE  ,86.8333,86.80358,86.82385,116.1953,117.0808,118.1068,9.708738,3.225806,1.204819,0.9708738,1.075269,1.204819
GREAT WHITE HERON NATIONAL WILDLIFE REFUGE  ,12.35992,12.05992,11.9249,26.20339,25.62195,25.47132,69.90291,63.44086,43.37349,72.81553,54.83871,39.75904
